cDNA #,Compound,"treatmentstage",sex,Day,DayL,N,rpL32,Kr-h1,E93,PkE93-1,PkE93-2,PkE93-3,br-1,br-2,br-3
224,Mimic,N3D0,female,5,E,1,8.60E-03,1.56E-04,1.13E-04,4.19E-05,1.46E-06,8.34E-08,1.75E-06,6.92E-05,6.73E-05
225,Mimic,N3D0,female,5,E,1,6.46E-03,1.83E-04,3.22E-04,1.77E-04,4.00E-06,1.16E-07,1.10E-05,3.65E-05,7.19E-05
226,Mimic,N3D0,female,5,E,1,1.00E-02,3.07E-04,3.13E-04,2.00E-04,4.61E-06,1.35E-07,8.62E-05,7.41E-05,9.27E-05
218,Control,N3D0,female,6,F,1,7.48E-03,4.97E-05,1.03E-04,3.74E-05,1.58E-06,1.25E-07,1.90E-05,7.93E-05,6.38E-05
219,Control,N3D0,female,6,F,1,1.16E-02,4.97E-05,2.45E-04,1.38E-04,6.40E-06,1.08E-07,1.40E-04,1.17E-04,1.42E-04
220,Control,N3D0,female,6,F,1,9.67E-03,8.00E-05,1.18E-04,3.29E-05,1.77E-06,1.47E-07,1.10E-04,9.98E-05,7.34E-05
227,Mimic,N3D0,female,6,F,1,1.78E-02,3.18E-04,3.80E-04,2.51E-04,5.31E-06,1.56E-07,2.16E-04,9.17E-05,6.68E-05
228,Mimic,N3D0,female,6,F,1,1.35E-02,3.23E-04,4.18E-04,1.88E-04,4.18E-06,1.70E-07,6.67E-04,1.15E-04,1.07E-04
229,Mimic,N3D0,female,6,F,1,2.17E-02,3.96E-04,4.83E-04,1.97E-04,7.91E-06,4.21E-07,8.63E-04,2.01E-04,1.09E-04
230,Control,N3D0,female,7,G,1,1.19E-02,4.57E-05,2.68E-04,1.24E-04,9.03E-06,1.65E-07,2.80E-04,1.54E-04,1.51E-04
231,Control,N3D0,female,7,G,1,8.05E-03,4.57E-05,2.87E-04,1.15E-04,6.45E-06,1.68E-07,2.53E-04,7.60E-05,1.08E-04
232,Control,N3D0,female,7,G,1,1.58E-02,1.19E-04,9.89E-05,2.83E-05,2.27E-06,2.04E-07,4.35E-05,1.07E-04,1.27E-04
233,Mimic,N3D0,female,7,G,1,1.25E-02,2.28E-04,2.35E-04,1.10E-04,3.57E-06,1.10E-07,3.81E-04,8.94E-05,1.08E-04
234,Mimic,N3D0,female,7,G,1,1.48E-02,4.41E-04,3.59E-04,2.35E-04,3.73E-06,1.34E-07,5.64E-04,9.81E-05,1.45E-04
235,Mimic,N3D0,female,7,G,1,1.44E-02,2.86E-04,2.22E-04,1.21E-04,2.14E-06,1.94E-07,1.47E-04,7.47E-05,2.14E-04
251,Control,N3D0,female,8,H,1,2.59E-02,7.55E-05,8.39E-05,3.97E-05,2.19E-06,8.27E-08,2.20E-04,2.01E-04,2.08E-04
252,Control,N3D0,female,8,H,1,2.26E-02,6.00E-05,6.81E-05,1.84E-05,1.13E-06,6.66E-08,1.81E-04,1.84E-04,1.56E-04
253,Control,N3D0,female,8,H,1,2.79E-02,6.43E-05,8.05E-05,2.78E-05,1.45E-06,1.56E-07,1.86E-04,1.57E-04,1.80E-04
254,Control,N3D0,female,8,H,1,1.59E-02,2.40E-05,2.35E-04,1.12E-04,8.27E-06,1.30E-07,6.13E-04,7.67E-05,8.76E-05
255,Control,N3D0,female,8,H,1,3.47E-02,1.42E-04,6.95E-05,2.07E-05,8.74E-07,1.44E-07,6.44E-05,1.29E-04,1.39E-04
256,Control,N3D0,female,8,H,1,3.32E-02,6.22E-05,9.71E-05,3.10E-05,1.62E-06,2.29E-07,1.59E-04,2.24E-04,2.09E-04
256,Control,N3D0,female,8,H,1,4.62E-02,1.89E-04,1.12E-04,6.25E-05,1.84E-06,1.39E-07,1.02E-04,2.21E-04,1.96E-04
258,Mimic,N3D0,female,8,H,1,1.37E-02,2.68E-04,5.79E-04,3.86E-04,2.99E-06,2.00E-07,3.91E-04,5.36E-05,8.93E-05
259,Mimic,N3D0,female,8,H,1,1.46E-02,3.06E-04,6.08E-04,4.43E-04,5.60E-06,1.30E-07,5.23E-04,7.93E-05,9.62E-05
260,Mimic,N3D0,female,8,H,1,2.27E-02,5.30E-04,4.86E-04,4.43E-04,6.18E-06,1.10E-07,6.45E-04,9.41E-05,1.82E-04
261,Mimic,N3D0,female,8,H,1,1.91E-02,3.85E-04,4.00E-04,3.22E-04,3.90E-06,1.24E-07,2.94E-04,9.98E-05,1.82E-04
262,Mimic,N3D0,female,8,H,1,1.99E-02,3.49E-04,2.69E-04,1.94E-04,2.76E-06,2.62E-07,2.47E-04,1.13E-04,2.08E-04
263,Mimic,N3D0,female,8,H,1,1.09E-02,3.42E-04,2.90E-04,1.38E-04,3.35E-06,7.74E-08,1.75E-04,4.64E-05,1.43E-04
264,Mimic,N3D0,female,8,H,1,1.10E-02,2.05E-04,2.05E-04,1.02E-04,2.31E-06,1.00E-07,2.71E-04,9.41E-05,5.33E-05
265,Mimic,N3D0,female,8,H,1,1.57E-02,4.07E-04,2.69E-04,1.44E-04,2.76E-06,2.51E-07,2.21E-04,1.30E-04,1.40E-04
