cDNA#,Compound,Treatment,TreatmentStage,Sex,DAT,DayL,N,rpL32,Kr-h1,E93,PkE93-1,PkE93-2,PkE93-3
220,Methanol,Control,N3D0,female,6,F,1,0.00967,0.00008,0.000118,0.00003288,0.000001774,1.472E-07
230,Methanol,Control,N3D0,female,7,G,1,0.0119,0.0000457,0.000268,0.0001243,0.000009033,1.654E-07
231,Methanol,Control,N3D0,female,7,G,1,0.00805,0.0000457,0.000287,0.0001153,0.000006454,1.682E-07
232,Methanol,Control,N3D0,female,7,G,1,0.0158,0.000119,0.0000989,0.00002827,0.000002273,2.038E-07
251,Methanol,Control,N3D0,female,8,H,1,0.02592,0.00007547,0.00008388,0.00003971,0.000002194,8.274E-08
252,Methanol,Control,N3D0,female,8,H,1,0.02256,0.00006003,0.00006805,0.00001837,0.00000113,6.66E-08
253,Methanol,Control,N3D0,female,8,H,1,0.02789,0.00006434,0.00008045,0.00002784,0.000001447,0.000000156
254,Methanol,Control,N3D0,female,8,H,1,0.01589,0.00002404,0.0002354,0.0001118,0.000008268,1.299E-07
255,Methanol,Control,N3D0,female,8,H,1,0.03472,0.0001418,0.00006949,0.00002074,8.742E-07,1.435E-07
256,Methanol,Control,N3D0,female,8,H,1,0.03323,0.00006215,0.00009711,0.00003095,0.000001624,0.000000229
257,Methanol,Control,N3D0,female,8,H,1,0.04617,0.0001885,0.0001116,0.0000625,0.000001838,1.388E-07
207,20 mM pyriproxyfen,Mimic,N3D0,female,1,A,1,0.00281,0.0000939,0.0000446,0.00001592,0.000001081,2.386E-08
209,20 mM pyriproxyfen,Mimic,N3D0,female,1,A,1,0.00161,0.00000351,0.00000414,5.946E-07,1.216E-07,1.003E-07
210,20 mM pyriproxyfen,Mimic,N3D0,female,1,A,1,0.00186,0.0000498,0.0000192,0.000006476,8.364E-07,1.331E-07
211,20 mM pyriproxyfen,Mimic,N3D0,female,1,A,1,0.00135,0.000044,0.0000138,0.000003538,3.515E-07,1.245E-07
284,20 mM pyriproxyfen,Mimic,N3D0,female,2,B,1,0.005811,0.00006584,0.0000214,0.00001165,0.00000102,9.476E-08
285,20 mM pyriproxyfen,Mimic,N3D0,female,2,B,1,0.004822,0.0001372,0.0001838,0.00002667,0.000001236,1.637E-07
286,20 mM pyriproxyfen,Mimic,N3D0,female,2,B,1,0.009749,0.00001034,0.00004392,0.00001096,9.837E-07,2.178E-07
290,20 mM pyriproxyfen,Mimic,N3D0,female,3,C,1,0.02697,0.0001155,0.00005556,0.000006609,0.000001686,1.003E-07
291,20 mM pyriproxyfen,Mimic,N3D0,female,3,C,1,0.01554,0.00005581,0.00002615,0.000002887,5.585E-07,3.281E-08
292,20 mM pyriproxyfen,Mimic,N3D0,female,3,C,1,0.01465,0.00008299,0.00002633,0.000002764,5.846E-07,1.664E-07
221,20mM pyriproxyfen,Mimic,N3D0,female,4,D,1,0.00866,0.000161,0.000189,0.0001118,0.000004259,8.344E-08
222,20mM pyriproxyfen,Mimic,N3D0,female,4,D,1,0.00337,0.00014,0.000208,0.00007325,0.000001624,2.179E-07
223,20mM pyriproxyfen,Mimic,N3D0,female,4,D,1,0.00799,0.000129,0.00013,0.0000455,0.000001081,1.739E-07
224,20mM pyriproxyfen,Mimic,N3D0,female,5,E,1,0.0086,0.000156,0.000113,0.00004187,0.00000146,8.344E-08
225,20mM pyriproxyfen,Mimic,N3D0,female,5,E,1,0.00646,0.000183,0.000322,0.0001773,0.000004003,1.155E-07
226,20mM pyriproxyfen,Mimic,N3D0,female,5,E,1,0.01,0.000307,0.000313,0.0002001,0.000004612,1.354E-07
227,20mM pyriproxyfen,Mimic,N3D0,female,6,F,1,0.0178,0.000318,0.00038,0.000251,0.000005313,0.000000156
228,20mM pyriproxyfen,Mimic,N3D0,female,6,F,1,0.0135,0.000323,0.000418,0.0001884,0.000004184,1.696E-07
229,20mM pyriproxyfen,Mimic,N3D0,female,6,F,1,0.0217,0.000396,0.000483,0.0001971,0.00000791,4.212E-07
233,20mM pyriproxyfen,Mimic,N3D0,female,7,G,1,0.0125,0.000228,0.000235,0.0001102,0.000003568,1.099E-07
234,20mM pyriproxyfen,Mimic,N3D0,female,7,G,1,0.0148,0.000441,0.000359,0.0002345,0.000003729,1.343E-07
235,20mM pyriproxyfen,Mimic,N3D0,female,7,G,1,0.0144,0.000286,0.000222,0.0001206,0.000002136,1.938E-07
258,20 mM pyriproxyfen,Mimic,N3D0,female,8,H,1,0.01373,0.0002684,0.0005789,0.0003862,0.00000299,2.004E-07
259,20 mM pyriproxyfen,Mimic,N3D0,female,8,H,1,0.01456,0.0003062,0.0006078,0.0004425,0.000005602,1.299E-07
260,20 mM pyriproxyfen,Mimic,N3D0,female,8,H,1,0.02273,0.0005295,0.0004862,0.0004425,0.000006175,1.099E-07
261,20 mM pyriproxyfen,Mimic,N3D0,female,8,H,1,0.01907,0.0003849,0.0004,0.0003221,0.000003898,1.235E-07
262,20 mM pyriproxyfen,Mimic,N3D0,female,8,H,1,0.01993,0.0003493,0.0002688,0.0001942,0.000002761,2.618E-07
263,20 mM pyriproxyfen,Mimic,N3D0,female,8,H,1,0.01087,0.0003421,0.0002902,0.0001382,0.000003354,7.74E-08
264,20 mM pyriproxyfen,Mimic,N3D0,female,8,H,1,0.01095,0.0002048,0.0002048,0.0001021,0.000002313,1.003E-07
